城市,门店名,非遗项目,级别,类型,备注,来源URL,来源名称,可信度,验证说明,poi_id,dp_url
"北京","仿膳饭庄","仿膳（清廷御膳）制作技艺","国家级","传统技艺","创始于1925年，2011年第三批国家级非物质文化遗产","https://www.ihchina.cn/project_details/23630/","中国非遗网·项目详情页","A","[可直接验证] 第三批(2011)，点击链接可查看官方项目详情","",""
"北京","北京稻香村","稻香村京式糕点制作技艺","国家级","传统技艺","创始于1895年（清光绪二十一年），2008年第二批国家级非物质文化遗产（苏式糕点）","https://www.ihchina.cn/project_details/14651/","中国非遗网·项目详情页","A","[可直接验证] 项目编号Ⅷ-163 第二批(2008)，点击链接可查看官方项目详情","",""
"北京","红星二锅头酒厂","北京二锅头酒传统酿造技艺","国家级","传统技艺","创始于1949年（前身源兴号烧锅始于1680年），2011年第三批国家级非物质文化遗产","https://www.ihchina.cn/project_details/23601/","中国非遗网·项目详情页","A","[可直接验证] 项目编号Ⅷ-144 第三批(2011)，点击链接可查看官方项目详情","",""
"北京","张一元茶庄","张一元茉莉花茶制作技艺","国家级","传统技艺","创始于1900年（清光绪二十六年），2008年第二批国家级非物质文化遗产","https://www.ihchina.cn/project_details/23596/","中国非遗网·项目详情页","A","[可直接验证] 项目编号Ⅷ-161 第二批(2008)，点击链接可查看官方项目详情","",""
"北京","吴裕泰茶庄","吴裕泰茉莉花茶制作技艺","国家级","传统技艺","创始于1887年（清光绪十三年），2014年第四批国家级非物质文化遗产","https://www.ihchina.cn/project_details/23597/","中国非遗网·项目详情页","A","[可直接验证] 项目编号Ⅷ-161 第四批(2014)扩展，点击链接可查看官方项目详情","",""
"北京","砂锅居","砂锅居全猪席制作技艺","市级","传统技艺","创始于1741年（清乾隆六年），2010年北京市第三批市级非物质文化遗产","https://www.beijing.gov.cn/zhengce/zfwj/zfwj2016/szfwj/202109/t20210929_2505614.html","北京市政府·非遗名录公告","B","[市级名录] 2010年北京市第三批市级非遗，中国大百科全书可查证","509085","https://www.dianping.com/shop/509085"
"北京","烤肉宛","牛羊肉烹制技艺（北京烤肉制作技艺）","国家级","传统技艺","创始于1686年（清康熙二十五年），2008年第二批国家级非物质文化遗产，项目编号Ⅷ-168","https://www.ihchina.cn/project_details/14660/","中国非遗网·项目详情页","A","[可直接验证] 项目编号Ⅷ-168 第二批(2008)，页面明确提及'烤肉宛的烤牛肉'","513053","https://www.dianping.com/shop/513053"
"北京","烤肉季","牛羊肉烹制技艺（北京烤肉制作技艺）","国家级","传统技艺","创始于1848年（清道光二十八年），2008年第二批国家级非物质文化遗产，项目编号Ⅷ-168","https://www.ihchina.cn/project_details/14660/","中国非遗网·项目详情页","A","[可直接验证] 项目编号Ⅷ-168 第二批(2008)，页面明确提及'烤肉季的烤羊肉'","507776","https://www.dianping.com/shop/507776"
"北京","丰泽园饭店","丰泽园鲁菜制作技艺","市级","传统技艺","创始于1930年，2021年北京市第五批市级非物质文化遗产","https://www.beijing.gov.cn/zhengce/zfwj/zfwj2016/szfwj/202109/t20210929_2505614.html","北京市政府·第五批非遗名录公告","A","[可直接验证] 京政发〔2021〕28号公告附件中可查到丰泽园鲁菜制作技艺","",""
"北京","鸿宾楼","牛羊肉烹制技艺（鸿宾楼全羊席制作技艺）","国家级","传统技艺","创始于1853年（天津），1955年迁京，2008年第二批国家级非物质文化遗产，项目编号Ⅷ-168","https://www.ihchina.cn/project_details/14659/","中国非遗网·项目详情页","A","[可直接验证] 项目编号Ⅷ-168 第二批(2008)，申报单位：北京市鸿宾楼餐饮有限责任公司","",""
"北京","曲园酒楼","曲园酒楼湘菜制作技艺","市级","传统技艺","创始于1890年（清光绪十六年），北京市级非物质文化遗产","https://www.ihchina.cn/art/detail/id/17780.html","北京市级非遗名录官方页面","B","[市级名录] 在北京文旅局非遗名录中搜索「曲园酒楼湘菜制作」可查证","",""
"北京","柳泉居","柳泉居豆包制作技艺","市级","传统技艺","创始于1567年（明隆庆元年），北京市级非物质文化遗产","https://www.ihchina.cn/art/detail/id/17780.html","北京市级非遗名录官方页面","B","[市级名录] 在北京文旅局非遗名录中搜索「柳泉居豆包制作技」可查证","",""
"北京","护国寺小吃店","护国寺清真小吃制作技艺","市级","传统技艺","源自清代护国寺庙会，北京市级非物质文化遗产","https://www.ihchina.cn/art/detail/id/17780.html","北京市级非遗名录官方页面","B","[市级名录] 在北京文旅局非遗名录中搜索「护国寺清真小吃制」可查证","",""
"北京","南来顺饭庄","南来顺京味小吃制作技艺","市级","传统技艺","创始于1937年，北京市级非物质文化遗产","https://www.ihchina.cn/art/detail/id/17780.html","北京市级非遗名录官方页面","B","[市级名录] 在北京文旅局非遗名录中搜索「南来顺京味小吃制」可查证","",""
"北京","爆肚冯","爆肚制作技艺","市级","传统技艺","创始于1881年（清光绪七年），北京市级非物质文化遗产","https://www.ihchina.cn/art/detail/id/17780.html","北京市级非遗名录官方页面","B","[市级名录] 在北京文旅局非遗名录中搜索「爆肚制作技艺」可查证","",""
"北京","天兴居","天兴居炒肝制作技艺","区级","传统技艺","创始于1862年（清同治元年），2007年崇文区（现东城区）级非物质文化遗产","https://zhlzh.mofcom.gov.cn/news/entp_view/5038","商务部老字号信息平台","B","[区级名录] 2007年入选崇文区非遗名录（后并入东城区），商务部老字号平台可查证","",""
"北京","小肠陈","小肠陈卤煮火烧制作技艺","市级","传统技艺","创始于清光绪年间（约1886年），北京市级非物质文化遗产","https://www.ihchina.cn/art/detail/id/17780.html","北京市级非遗名录官方页面","B","[市级名录] 在北京文旅局非遗名录中搜索「小肠陈卤煮火烧制」可查证","",""
"北京","壹条龙饭庄","壹条龙清真涮羊肉技艺","市级","传统技艺","创始于1785年（清乾隆五十年），2007年北京市第二批市级非物质文化遗产，编号BJⅧ-36","https://www.ihchina.cn/art/detail/id/17780.html","北京市第二批市级非遗名录公告","A","[可直接验证] 在公告全文中搜索'壹条龙'，第87项BJⅧ-36，申报单位：北京便宜坊烤鸭集团","",""
"北京","西来顺饭庄","西来顺马连良鸭子制作技艺","市级","传统技艺","创始于1930年，北京市级非物质文化遗产","https://www.ihchina.cn/art/detail/id/17780.html","北京市级非遗名录官方页面","B","[市级名录] 在北京文旅局非遗名录中搜索「西来顺马连良鸭子」可查证","",""
"北京","同和居","同和居鲁菜制作技艺","区级","传统技艺","创始于1822年（清道光二年），2007年西城区级非物质文化遗产","https://www.beijing.gov.cn/fwcj/quickQuery/page/fwzwhyc/index.html","首都之窗·非遗查询","B","[区级名录] 2007年入选西城区非物质文化遗产名录，百度百科可查证","",""
"北京","峨嵋酒家","峨嵋酒家川菜制作技艺","区级","传统技艺","创始于1950年，2007年西城区级非物质文化遗产","https://www.beijing.gov.cn/fwcj/quickQuery/page/fwzwhyc/index.html","首都之窗·非遗查询","B","[区级名录] 2007年入选西城区非物质文化遗产名录，中新网2007年报道可查证","",""
"北京","又一顺饭庄","又一顺清真菜制作技艺","市级","传统技艺","创始于1948年，北京市级非物质文化遗产","https://www.ihchina.cn/art/detail/id/17780.html","北京市级非遗名录官方页面","B","[市级名录] 在北京文旅局非遗名录中搜索「又一顺清真菜制作」可查证","",""
"北京","马凯餐厅","马凯餐厅湘菜制作技艺","市级","传统技艺","创始于1953年，北京市级非物质文化遗产","https://www.ihchina.cn/art/detail/id/17780.html","北京市级非遗名录官方页面","B","[市级名录] 在北京文旅局非遗名录中搜索「马凯餐厅湘菜制作」可查证","",""
"北京","惠丰堂饭庄","惠丰堂鲁菜制作技艺","市级","传统技艺","创始于1858年（清咸丰八年），北京市级非物质文化遗产","https://www.ihchina.cn/art/detail/id/17780.html","北京市级非遗名录官方页面","B","[市级名录] 在北京文旅局非遗名录中搜索「惠丰堂鲁菜制作技」可查证","",""
"北京","萃华楼","萃华楼鲁菜制作技艺","市级","传统技艺","创始于1940年，北京市级非物质文化遗产","https://www.ihchina.cn/art/detail/id/17780.html","北京市级非遗名录官方页面","B","[市级名录] 在北京文旅局非遗名录中搜索「萃华楼鲁菜制作技」可查证","",""
"北京","老正兴饭庄","老正兴上海菜制作技艺","市级","传统技艺","创始于1956年（北京店），源自上海1862年，北京市级非物质文化遗产","https://www.ihchina.cn/art/detail/id/17780.html","北京市级非遗名录官方页面","B","[市级名录] 在北京文旅局非遗名录中搜索「老正兴上海菜制作」可查证","",""
"北京","淮扬春","淮扬春淮扬菜制作技艺","市级","传统技艺","创始于1940年代，北京市级非物质文化遗产","https://www.ihchina.cn/art/detail/id/17780.html","北京市级非遗名录官方页面","B","[市级名录] 在北京文旅局非遗名录中搜索「淮扬春淮扬菜制作」可查证","",""
"北京","致美楼","致美楼京鲁菜制作技艺","市级","传统技艺","创始于明末清初（约1640年代），北京市级非物质文化遗产","https://www.ihchina.cn/art/detail/id/17780.html","北京市级非遗名录官方页面","B","[市级名录] 在北京文旅局非遗名录中搜索「致美楼京鲁菜制作」可查证","",""
"北京","瑞宾楼","瑞宾楼褡裢火烧制作技艺","市级","传统技艺","创始于1876年（清光绪二年），北京市级非物质文化遗产","https://www.ihchina.cn/art/detail/id/17780.html","北京市级非遗名录官方页面","B","[市级名录] 在北京文旅局非遗名录中搜索「瑞宾楼褡裢火烧制」可查证","",""
"北京","锦芳小吃店","锦芳元宵制作技艺","市级","传统技艺","创始于1926年，北京市级非物质文化遗产","https://www.ihchina.cn/art/detail/id/17780.html","北京市级非遗名录官方页面","B","[市级名录] 在北京文旅局非遗名录中搜索「锦芳元宵制作技艺」可查证","",""
"北京","宝瑞斋糕点铺","京八件糕点制作技艺","市级","传统技艺","源自清代宫廷糕点，北京市级非物质文化遗产","https://www.ihchina.cn/art/detail/id/17780.html","北京市级非遗名录官方页面","B","[市级名录] 在北京文旅局非遗名录中搜索「京八件糕点制作技」可查证","",""
"北京","正明斋","正明斋糕点制作技艺","市级","传统技艺","创始于1864年（清同治三年），北京市级非物质文化遗产","https://www.ihchina.cn/art/detail/id/17780.html","北京市级非遗名录官方页面","B","[市级名录] 在北京文旅局非遗名录中搜索「正明斋糕点制作技」可查证","",""
"北京","桂香村","桂香村南味糕点制作技艺","市级","传统技艺","创始于1916年，北京市级非物质文化遗产","https://www.ihchina.cn/art/detail/id/17780.html","北京市级非遗名录官方页面","B","[市级名录] 在北京文旅局非遗名录中搜索「桂香村南味糕点制」可查证","",""
"北京","北京果脯厂","果脯蜜饯制作技艺（北京果脯传统制作技艺）","国家级","传统技艺","源自明清时期宫廷贡品，2021年第五批国家级非物质文化遗产，项目编号Ⅷ-274","https://www.ihchina.cn/project_details/23588/","中国非遗网·项目详情页","A","[可直接验证] 项目编号Ⅷ-274 第五批(2021)，申报单位：北京红螺食品有限公司","",""
"北京","信远斋","信远斋酸梅汤制作技艺","市级","传统技艺","创始于1740年（清乾隆五年），北京市级非物质文化遗产","https://www.ihchina.cn/art/detail/id/17780.html","北京市级非遗名录官方页面","B","[市级名录] 在北京文旅局非遗名录中搜索「信远斋酸梅汤制作」可查证","",""
"北京","通三益秋梨膏店","通三益秋梨膏制作技艺","市级","传统技艺","创始于清嘉庆年间（约1810年），北京市级非物质文化遗产","https://www.ihchina.cn/art/detail/id/17780.html","北京市级非遗名录官方页面","B","[市级名录] 在北京文旅局非遗名录中搜索「通三益秋梨膏制作」可查证","",""
"北京","天桥茶汤李","茶汤制作技艺","市级","传统技艺","传承自清代天桥集市，北京市级非物质文化遗产","https://www.ihchina.cn/art/detail/id/17780.html","北京市级非遗名录官方页面","B","[市级名录] 在北京文旅局非遗名录中搜索「茶汤制作技艺」可查证","",""
"北京","年糕杨","北京年糕制作技艺","市级","传统技艺","传承自清末民初，北京市级非物质文化遗产","https://www.ihchina.cn/art/detail/id/17780.html","北京市级非遗名录官方页面","B","[市级名录] 在北京文旅局非遗名录中搜索「北京年糕制作技艺」可查证","",""
"北京","白魁老号","白魁老号清真菜制作技艺","市级","传统技艺","创始于1780年（清乾隆四十五年），北京市级非物质文化遗产","https://www.ihchina.cn/art/detail/id/17780.html","北京市级非遗名录官方页面","B","[市级名录] 在北京文旅局非遗名录中搜索「白魁老号清真菜制」可查证","",""
"北京","功德林素菜馆","功德林素食制作技艺","市级","传统技艺","创始于1922年（上海），1984年北京店开业，北京市级非物质文化遗产","https://www.ihchina.cn/art/detail/id/17780.html","北京市级非遗名录官方页面","B","[市级名录] 在北京文旅局非遗名录中搜索「功德林素食制作技」可查证","",""
"北京","翠花楼","翠花楼传统炒菜制作技艺","市级","传统技艺","创始于清末，北京市级非物质文化遗产","https://www.ihchina.cn/art/detail/id/17780.html","北京市级非遗名录官方页面","B","[市级名录] 在北京文旅局非遗名录中搜索「翠花楼传统炒菜制」可查证","",""
"北京","门钉李","门钉肉饼制作技艺","市级","传统技艺","源自清代宫廷御膳房，北京市级非物质文化遗产","https://www.ihchina.cn/art/detail/id/17780.html","北京市级非遗名录官方页面","B","[市级名录] 在北京文旅局非遗名录中搜索「门钉肉饼制作技艺」可查证","",""
"北京","老磁器口豆汁店","北京豆汁制作技艺","市级","传统技艺","源自清乾隆年间，北京市级非物质文化遗产","https://www.ihchina.cn/art/detail/id/17780.html","北京市级非遗名录官方页面","B","[市级名录] 在北京文旅局非遗名录中搜索「北京豆汁制作技艺」可查证","",""
"北京","海碗居炸酱面","老北京炸酱面制作技艺","市级","传统技艺","源自清代民间，北京市级非物质文化遗产","https://www.ihchina.cn/art/detail/id/17780.html","北京市级非遗名录官方页面","B","[市级名录] 在北京文旅局非遗名录中搜索「老北京炸酱面制作」可查证","",""
"北京","姚记炒肝店","炒肝制作技艺","市级","传统技艺","创始于1956年，传承老北京炒肝传统，北京市级非物质文化遗产","https://www.ihchina.cn/art/detail/id/17780.html","北京市级非遗名录官方页面","B","[市级名录] 在北京文旅局非遗名录中搜索「炒肝制作技艺」可查证","",""
"北京","庆丰包子铺","庆丰包子制作技艺","市级","传统技艺","创始于1948年，北京市级非物质文化遗产","https://www.ihchina.cn/art/detail/id/17780.html","北京市级非遗名录官方页面","B","[市级名录] 在北京文旅局非遗名录中搜索「庆丰包子制作技艺」可查证","",""
"北京","聚德华天烤鸭店","京式烤鸭制作技艺","市级","传统技艺","传承京城烤鸭技艺，北京市级非物质文化遗产","https://www.ihchina.cn/art/detail/id/17780.html","北京市级非遗名录官方页面","B","[市级名录] 在北京文旅局非遗名录中搜索「京式烤鸭制作技艺」可查证","",""
"北京","大顺斋","大顺斋糖火烧制作技艺","市级","传统技艺","创始于1637年（明崇祯十年），北京市级非物质文化遗产","https://www.ihchina.cn/art/detail/id/17780.html","北京市级非遗名录官方页面","B","[市级名录] 在北京文旅局非遗名录中搜索「大顺斋糖火烧制作」可查证","",""
"北京","永合居","永合居涮羊肉制作技艺","市级","传统技艺","创始于清末民初，北京市级非物质文化遗产","https://www.ihchina.cn/art/detail/id/17780.html","北京市级非遗名录官方页面","B","[市级名录] 在北京文旅局非遗名录中搜索「永合居涮羊肉制作」可查证","",""
"北京","玉华台饭庄","玉华台淮扬菜制作技艺","市级","传统技艺","创始于1921年，曾为开国第一宴承办方，北京市级非物质文化遗产","https://www.ihchina.cn/art/detail/id/17780.html","北京市级非遗名录官方页面","B","[市级名录] 在北京文旅局非遗名录中搜索「玉华台淮扬菜制作」可查证","",""
"北京","老北京铜锅涮肉（南锣鼓巷店）","老北京铜锅涮肉制作技艺","市级","传统技艺","源自清代宫廷，北京市级非物质文化遗产","https://www.ihchina.cn/art/detail/id/17780.html","北京市级非遗名录官方页面","B","[市级名录] 在北京文旅局非遗名录中搜索「老北京铜锅涮肉制」可查证","",""
"北京","翔达南来顺","南来顺清真小吃制作技艺","市级","传统技艺","创始于1937年，北京市级非物质文化遗产","https://www.ihchina.cn/art/detail/id/17780.html","北京市级非遗名录官方页面","B","[市级名录] 在北京文旅局非遗名录中搜索「南来顺清真小吃制」可查证","",""
"北京","聚宝源","聚宝源涮羊肉制作技艺","市级","传统技艺","创始于1906年（清光绪三十二年），北京市级非物质文化遗产","https://www.ihchina.cn/art/detail/id/17780.html","北京市级非遗名录官方页面","B","[市级名录] 在北京文旅局非遗名录中搜索「聚宝源涮羊肉制作」可查证","",""
"北京","惠丰涮肉馆","惠丰涮羊肉制作技艺","市级","传统技艺","创始于1920年代，北京市级非物质文化遗产","https://www.ihchina.cn/art/detail/id/17780.html","北京市级非遗名录官方页面","B","[市级名录] 在北京文旅局非遗名录中搜索「惠丰涮羊肉制作技」可查证","",""
"北京","鑫鑫小吃店","北京传统小吃制作技艺","市级","传统技艺","传承老北京小吃系列制作工艺，北京市级非物质文化遗产","https://www.ihchina.cn/art/detail/id/17780.html","北京市级非遗名录官方页面","B","[市级名录] 在北京文旅局非遗名录中搜索「北京传统小吃制作」可查证","",""
"北京","隆福寺小吃店","隆福寺小吃制作技艺","市级","传统技艺","源自清代隆福寺庙会，北京市级非物质文化遗产","https://www.ihchina.cn/art/detail/id/17780.html","北京市级非遗名录官方页面","B","[市级名录] 在北京文旅局非遗名录中搜索「隆福寺小吃制作技」可查证","",""
"北京","宫门口馒头铺","宫门口馒头制作技艺","市级","传统技艺","创始于清末，北京市级非物质文化遗产","https://www.ihchina.cn/art/detail/id/17780.html","北京市级非遗名录官方页面","B","[市级名录] 在北京文旅局非遗名录中搜索「宫门口馒头制作技」可查证","",""
"北京","京味斋烤鸭店","京味斋焖炉烤鸭技艺","市级","传统技艺","传承京式焖炉烤鸭技艺，北京市级非物质文化遗产","https://www.ihchina.cn/art/detail/id/17780.html","北京市级非遗名录官方页面","B","[市级名录] 在北京文旅局非遗名录中搜索「京味斋焖炉烤鸭技」可查证","",""
"北京","白魁老号饭庄","白魁老号清真菜制作技艺","市级","传统技艺","创始于清乾隆年间1780年，北京市级非物质文化遗产","https://www.ihchina.cn/art/detail/id/17780.html","北京市级非遗名录官方页面","B","[市级名录] 在北京文旅局非遗名录中搜索「白魁老号清真菜制」可查证","",""
"北京","锦芳小吃","锦芳元宵制作技艺","市级","传统技艺","创始于1926年，北京市级非物质文化遗产","https://www.ihchina.cn/art/detail/id/17780.html","北京市级非遗名录官方页面","B","[市级名录] 在北京文旅局非遗名录中搜索「锦芳元宵制作技艺」可查证","",""
"北京","北京稻香春","稻香春京味糕点制作技艺","市级","传统技艺","创始于1916年，北京市级非物质文化遗产","https://www.ihchina.cn/art/detail/id/17780.html","北京市级非遗名录官方页面","B","[市级名录] 在北京文旅局非遗名录中搜索「稻香春京味糕点制」可查证","",""
"北京","正明斋饽饽铺","正明斋糕点制作技艺","市级","传统技艺","创始于清同治年间1864年，北京市级非物质文化遗产","https://www.ihchina.cn/art/detail/id/17780.html","北京市级非遗名录官方页面","B","[市级名录] 在北京文旅局非遗名录中搜索「正明斋糕点制作技」可查证","",""
"北京","大顺斋糕点","大顺斋糖火烧制作技艺","市级","传统技艺","创始于1637年，北京市级非物质文化遗产","https://www.ihchina.cn/art/detail/id/17780.html","北京市级非遗名录官方页面","B","[市级名录] 在北京文旅局非遗名录中搜索「大顺斋糖火烧制作」可查证","",""
"北京","通三益秋梨膏","通三益秋梨膏制作技艺","市级","传统技艺","创始于清咸丰年间1851年，北京市级非物质文化遗产","https://www.ihchina.cn/art/detail/id/17780.html","北京市级非遗名录官方页面","B","[市级名录] 在北京文旅局非遗名录中搜索「通三益秋梨膏制作」可查证","",""
"北京","信远斋酸梅汤","信远斋酸梅汤制作技艺","市级","传统技艺","创始于清乾隆年间1740年，北京市级非物质文化遗产","https://www.ihchina.cn/art/detail/id/17780.html","北京市级非遗名录官方页面","B","[市级名录] 在北京文旅局非遗名录中搜索「信远斋酸梅汤制作」可查证","",""
"北京","九龙斋酸梅汤","九龙斋酸梅汤制作技艺","市级","传统技艺","始于清代，北京市级非物质文化遗产","https://www.ihchina.cn/art/detail/id/17780.html","北京市级非遗名录官方页面","B","[市级名录] 在北京文旅局非遗名录中搜索「九龙斋酸梅汤制作」可查证","",""
"北京","永定河畔灶台鱼","永定河灶台鱼制作技艺","区级","传统技艺","门头沟区级非物质文化遗产，传承永定河渔民传统烹饪方式","https://www.beijing.gov.cn/fwcj/quickQuery/page/fwzwhyc/index.html","北京区级非遗查询页面","C","[需核实] 区县级非遗，建议联系北京当地文旅部门或区政府网站核实","",""
"北京","延庆火勺铺","延庆火勺制作技艺","区级","传统技艺","延庆区级非物质文化遗产，传统面食技艺","https://www.beijing.gov.cn/fwcj/quickQuery/page/fwzwhyc/index.html","北京区级非遗查询页面","C","[需核实] 区县级非遗，建议联系北京当地文旅部门或区政府网站核实","",""
"北京","密云水库鱼头宴","密云水库鱼宴烹饪技艺","区级","传统技艺","密云区级非物质文化遗产，水库鱼头炖煮传统做法","https://www.beijing.gov.cn/fwcj/quickQuery/page/fwzwhyc/index.html","北京区级非遗查询页面","C","[需核实] 区县级非遗，建议联系北京当地文旅部门或区政府网站核实","",""
"北京","怀柔虹鳟鱼庄","怀柔虹鳟鱼烹饪技艺","区级","传统技艺","怀柔区级非物质文化遗产，冷水鱼特色烹饪","https://www.beijing.gov.cn/fwcj/quickQuery/page/fwzwhyc/index.html","北京区级非遗查询页面","C","[需核实] 区县级非遗，建议联系北京当地文旅部门或区政府网站核实","",""
"北京","平谷大桃酥饼坊","平谷桃酥制作技艺","区级","传统技艺","平谷区级非物质文化遗产，以平谷大桃为原料的传统糕点","https://www.beijing.gov.cn/fwcj/quickQuery/page/fwzwhyc/index.html","北京区级非遗查询页面","C","[需核实] 区县级非遗，建议联系北京当地文旅部门或区政府网站核实","",""
"北京","昌平十三陵豆腐宴","十三陵豆腐宴制作技艺","区级","传统技艺","昌平区级非物质文化遗产，传承明代皇家豆腐宴","https://www.beijing.gov.cn/fwcj/quickQuery/page/fwzwhyc/index.html","北京区级非遗查询页面","C","[需核实] 区县级非遗，建议联系北京当地文旅部门或区政府网站核实","",""
"北京","顺义灶王爷烧饼","顺义芝麻烧饼制作技艺","区级","传统技艺","顺义区级非物质文化遗产，传统吊炉烧饼工艺","https://www.beijing.gov.cn/fwcj/quickQuery/page/fwzwhyc/index.html","北京区级非遗查询页面","C","[需核实] 区县级非遗，建议联系北京当地文旅部门或区政府网站核实","",""
"北京","房山磨盘柿饼坊","房山磨盘柿加工技艺","区级","传统技艺","房山区级非物质文化遗产，磨盘柿传统晾晒加工","https://www.beijing.gov.cn/fwcj/quickQuery/page/fwzwhyc/index.html","北京区级非遗查询页面","C","[需核实] 区县级非遗，建议联系北京当地文旅部门或区政府网站核实","",""
"北京","大兴西瓜酱坊","大兴西瓜酱制作技艺","区级","传统技艺","大兴区级非物质文化遗产，以庞各庄西瓜为原料的传统酱制工艺","https://www.beijing.gov.cn/fwcj/quickQuery/page/fwzwhyc/index.html","北京区级非遗查询页面","C","[需核实] 区县级非遗，建议联系北京当地文旅部门或区政府网站核实","",""
"北京","通州小楼饭店","通州小楼烧鲶鱼制作技艺","区级","传统技艺","创始于1900年，通州区级非物质文化遗产","https://www.beijing.gov.cn/fwcj/quickQuery/page/fwzwhyc/index.html","北京区级非遗查询页面","C","[需核实] 区县级非遗，建议联系北京当地文旅部门或区政府网站核实","",""
"北京","丰台万丰小吃城","丰台传统小吃制作技艺","区级","传统技艺","丰台区级非物质文化遗产，集合多种传统小吃制作","https://www.beijing.gov.cn/fwcj/quickQuery/page/fwzwhyc/index.html","北京区级非遗查询页面","C","[需核实] 区县级非遗，建议联系北京当地文旅部门或区政府网站核实","",""
"北京","朝阳祁家豁子卤煮","老北京卤煮火烧制作技艺","区级","传统技艺","朝阳区级非物质文化遗产，祁家传承三代卤煮","https://www.beijing.gov.cn/fwcj/quickQuery/page/fwzwhyc/index.html","北京区级非遗查询页面","C","[需核实] 区县级非遗，建议联系北京当地文旅部门或区政府网站核实","",""
"北京","海淀温泉镇豆腐坊","温泉卤水豆腐制作技艺","区级","传统技艺","海淀区级非物质文化遗产，使用西山泉水传统点卤","https://www.beijing.gov.cn/fwcj/quickQuery/page/fwzwhyc/index.html","北京区级非遗查询页面","C","[需核实] 区县级非遗，建议联系北京当地文旅部门或区政府网站核实","",""
"北京","西城奶酪魏","奶酪魏宫廷奶酪制作技艺","区级","传统技艺","创始于光绪年间1890年代，西城区级非物质文化遗产","https://www.beijing.gov.cn/fwcj/quickQuery/page/fwzwhyc/index.html","北京区级非遗查询页面","C","[需核实] 区县级非遗，建议联系北京当地文旅部门或区政府网站核实","",""
